overview:
S_D_p:79.164
S_D_r:65.827
S_D_f1:71.882
S_C_p:70.548
S_C_r:58.663
S_C_f1:64.059
C_D_p:82.999
C_D_r:67.009
C_D_f1:74.152
C_C_p:73.591
C_C_r:59.415
C_C_f1:65.748

bad cases:
预测: 北京以70.7%的住【宅】拥有率排名倒数第三
错误类型: 综合

原始: 这标志着我省将实现全省婚姻联网登记办理，不仅能让想钻空子“重婚”、“骗婚”者立即现行，婚姻登记办理也更为方便
正确: 这标志着我省将实现全省婚姻联网登记办理，不仅能让想钻空子“重婚”、“骗婚”者立即现【形】，婚姻登记办理也更为方便
预测: 这标志着我省将实现全省婚姻联网登记办理，不仅能让想钻空子“重婚”、“骗婚”者立即现【行】，婚姻登记办理也更为方便
错误类型: 漏纠

原始: 近期陈彤加盟小米的传闻在11月4日下午终于得到证实：前新浪执行副总裁、新浪网总编辑陈彤11月4日正式但任小米内容投资和运营的副总裁
正确: 近期陈彤加盟小米的传闻在11月4日下午终于得到证实：前新浪执行副总裁、新浪网总编辑陈彤11月4日正式【担】任小米内容投资和运营的副总裁
预测: 近期陈彤加盟小米的传闻在11月4日下午终于得到证实：前新浪执行副总裁、新浪网总编辑陈彤11月4日正式【就】任小米内容投资和运营的副总裁
错误类型: 综合

原始: 迈克尔-舒马赫的经理人科姆披露：曾有一名记者穿伴成牧师试图闯入车王的手术室
正确: 迈克尔-舒马赫的经理人科姆披露：曾有一名记者穿【扮】成牧师试图闯入车王的手术室
预测: 迈克尔-舒马赫的经理人科姆披露：曾有一名记者穿【伴】成牧师试图闯入车王的手术室
错误类型: 漏纠

原始: 秭妹店中商广场被誉为“江南第一品牌店”，二者所形成的“双子”星座已成为江南核心商圈…
正确: 【姐】【妹】店中商广场被誉为“江南第一品牌店”，二者所形成的“双子”星座已成为江南核心商圈…
预测: 【秭】【归】店中商广场被誉为“江南第一品牌店”，二者所形成的“双子”星座已成为江南核心商圈…
错误类型: 综合

原始: 康斯坦丁：自2014入冬以来，中国大陆代工业频糟寒流
正确: 康斯坦丁：自2014入冬以来，中国大陆代工业频【遭】寒流
预测: 康斯坦丁：自2014入冬以来，中国大陆代工业频【遇】寒流
错误类型: 综合

原始: 从广东省政协了解到，2014年初，广东省政协将“推进21世纪海上丝绸之路建没”确定为议政专题，组成跨专委会调研组，深入广深等地市调研，并赴福建、甘肃、青海等省区学习考察“一带一路”建设经验
正确: 从广东省政协了解到，2014年初，广东省政协将“推进21世纪海上丝绸之路建【没】”确定为议政专题，组成跨专委会调研组，深入广深等地市调研，并赴福建、甘肃、青海等省区学习考察“一带一路”建设经验
预测: 从广东省政协了解到，2014年初，广东省政协将“推进21世纪海上丝绸之路建【设】”确定为议政专题，组成跨专委会调研组，深入广深等地市调研，并赴福建、甘肃、青海等省区学习考察“一带一路”建设经验
错误类型: 过纠

原始: 央行发函指出，各金融机构要统筹兼顾流动性盈利性等经营目标，合理安排资产负债总量和期限结构，合理把握一般贷款、票据融资等的配置结构和投放进度，注重通过激活存量支持实体经济发展，避免存款“冲时点”等行为，保持货币信贷平稳适度增长
正确: 央行发函指出，各金融机构要统筹兼顾流动性【营】利性等经营目标，合理安排资产负债总量和期限结构，合理把握一般贷款、票据融资等的配置结构和投放进度，注重通过激活存量支持实体经济发展，避免存款“冲时点”等行为，保持货币信贷平稳适度增长
预测: 央行发函指出，各金融机构要统筹兼顾流动性【盈】利性等经营目标，合理安排资产负债总量和期限结构，合理把握一般贷款、票据融资等的配置结构和投放进度，注重通过激活存量支持实体经济发展，避免存款“冲时点”等行为，保持货币信贷平稳适度增长
错误类型: 漏纠

原始: 本单特色：①济州岛观光特色酒店，服务、环境没的说；②精心为您安排韩国特色餐饮，让您领域异国的美食文化；③在济州岛，全程中文导游服务；④精选十多个济州岛特色景点，让你来一次再无遗憾>>>
正确: 本单特色：①济州岛观光特色酒店，服务、环境没的说；②精心为您安排韩国特色餐饮，让您领【域】异国的美食文化；③在济州岛，全程中文导游服务；④精选十多个济州岛特色景点，让你来一次再无遗憾>>>
预测: 本单特色：①济州岛观光特色酒店，服务、环境没的说；②精心为您安排韩国特色餐饮，让您领【略】异国的美食文化；③在济州岛，全程中文导游服务；④精选十多个济州岛特色景点，让你来一次再无遗憾>>>
错误类型: 过纠

原始: 只到金丝猴奶糖登场，当年实现销售额2000多万
正确: 【直】到金丝猴奶糖登场，当年实现销售额2000多万
预测: 【只】到金丝猴奶糖登场，当年实现销售额2000多万
错误类型: 漏纠

原始: 质监总局消息，2月9日，质检总局局长支树平应约会见了来访的阿里巴巴董事局主席马云
正确: 质【检】总局消息，2月9日，质【检】总局局长支树平应约会见了来访的阿里巴巴董事局主席马云
预测: 质【监】总局消息，2月9日，质【监】总局局长支树平应约会见了来访的阿里巴巴董事局主席马云
错误类型: 综合

原始: 不管是新平台还是新技术，不管是大数据还是SCRM的概念，社会化营销从业者应该一直围绕广大用户，在很多情况下社会化营销的道路是淌出的、玩出来的、服务出来的，软硬广告买来的只是昂贵的浅层印象
正确: 不管是新平台还是新技术，不管是大数据还是SCRM的概念，社会化营销从业者应该一直围绕广大用户，在很多情况下社会化营销的道路是【趟】出的、玩出来的、服务出来的，软硬广告买来的只是昂贵的浅层印象
预测: 不管是新平台还是新技术，不管是大数据还是SCRM的概念，社会化营销从业者应该一直围绕广大用户，在很多情况下社会化营销的道路是【淌】出的、玩出来的、服务出来的，软硬广告买来的只是昂贵的浅层印象
错误类型: 漏纠

原始: 作为全球历史最悠久、规模最庞大拍卖行之一的邦瀚斯近两年已越来越意识到中国艺术市场的“钱景”
正确: 作为全球历史最悠久、规模最庞大拍卖行之一的邦瀚斯近两年已越来越意识到中国艺术市场的“【钱】景”
预测: 作为全球历史最悠久、规模最庞大拍卖行之一的邦瀚斯近两年已越来越意识到中国艺术市场的“【前】景”
错误类型: 过纠

原始: 这也是今年糖厂最后一根救命稻草，收储后的工业库存降至100万吨以内，降减轻老糖年内的销售压力
正确: 这也是今年糖厂最后一根救命稻草，收储后的工业库存降至100万吨以内，【将】减轻老糖年内的销售压力
预测: 这也是今年糖厂最后一根救命稻草，收储后的工业库存降至100万吨以内，【以】减轻老糖年内的销售压力
错误类型: 综合

原始: 大家都做生意，凭什么李老板能坐200万的，我王老板只能坐几十万的
正确: 大家都做生意，凭什么李老板能【做】200万的，我王老板只能【做】几十万的
预测: 大家都做生意，凭什么李老板能【坐】200万的，我王老板只能【坐】几十万的
错误类型: 漏纠

原始: 浙江工商局通报了对36款手机的抽查结果，不合格27批次，涉及三星、索尼爱立信、摩托罗拉、诺基亚、菲利浦、HTC、ZTE、联想等17个知名品牌
正确: 浙江工商局通报了对36款手机的抽查结果，不合格27批次，涉及三星、索尼爱立信、摩托罗拉、诺基亚、【飞】利浦、HTC、ZTE、联想等17个知名品牌
预测: 浙江工商局通报了对36款手机的抽查结果，不合格27批次，涉及三星、索尼爱立信、摩托罗拉、诺基亚、【菲】利浦、HTC、ZTE、联想等17个知名品牌
错误类型: 漏纠

原始: 上市前对于Facebook的股价预测：有人断言，短期会涨，中期（数月内）跌破发行价；有人打堵一顿饭，涨得让人心跳；有人评论短期乐观，长期悲观；那天你预测了么
正确: 上市前对于Facebook的股价预测：有人断言，短期会涨，中期（数月内）跌破发行价；有人打【赌】一顿饭，涨得让人心跳；有人评论短期乐观，长期悲观；那天你预测了么
预测: 上市前对于Facebook的股价预测：有人断言，短期会涨，中期（数月内）跌破发行价；有人打【堵】一顿饭，涨得让人心跳；有人评论短期乐观，长期悲观；那天你预测了么
错误类型: 漏纠

原始: 污水所流向的夏邑县，去年4月曾发生养殖户因与大量死亡上访，后喝农药自杀未遂的事件
正确: 污水所流向的夏邑县，去年4月曾发生养殖户因【鱼】大量死亡上访，后喝农药自杀未遂的事件
预测: 污水所流向的夏邑县，去年4月曾发生养殖户因【为】大量死亡上访，后喝农药自杀未遂的事件
错误类型: 综合

原始: 在不足5年的时间里，团购完成了千团大战自由竞争到三家寡头垄断的裂变聚合过程，形态也与最初的每日一单演变到今天的本地生活服务，
正确: 在不足5年的时间里，团购完成了千团大战自由竞争到三家寡头垄断的裂变聚合过程，形态也【与】最初的每日一单演变到今天的本地生活服务，
预测: 在不足5年的时间里，团购完成了千团大战自由竞争到三家寡头垄断的裂变聚合过程，形态也【由】最初的每日一单演变到今天的本地生活服务，
错误类型: 过纠

原始: 记者核实：事情发生在凌晨2：40，德胜东路与通惠路交叉库向东方向，一辆安徽牌照的大货车将路边的龙门架撞断，断裂的龙门架裂倒下时，一辆路过的小轿车不幸被砸中
正确: 记者核实：事情发生在凌晨2：40，德胜东路与通惠路交叉【路】向东方向，一辆安徽牌照的大货车将路边的龙门架撞断，断裂的龙门架裂倒下时，一辆路过的小轿车不幸被砸中
预测: 记者核实：事情发生在凌晨2：40，德胜东路与通惠路交叉【口】向东方向，一辆安徽牌照的大货车将路边的龙门架撞断，断裂的龙门架裂倒下时，一辆路过的小轿车不幸被砸中
错误类型: 综合

原始: 由中央纪委宣传部与中央电视台联合制作的四集电视专题片《作风建设永远在路上——落实八项规定精神正风肃纪纪实》，将为您讲述倪发科怎样因玉疯狂，因欲得祸；广州市委原书记万庆良曾经多次出入的高档会所何等豪华……
正确: 由中央纪委宣传部与中央电视台联合制作的四集电视专题片《作风建设永远在路上——落实八项规定精神正风肃纪纪实》，将为您讲述倪发科怎样因【欲】疯狂，因欲得祸；广州市委原书记万庆良曾经多次出入的高档会所何等豪华……
预测: 由中央纪委宣传部与中央电视台联合制作的四集电视专题片《作风建设永远在路上——落实八项规定精神正风肃纪纪实》，将为您讲述倪发科怎样因【玉】疯狂，因欲得祸；广州市委原书记万庆良曾经多次出入的高档会所何等豪华……
错误类型: 漏纠

原始: 但是我觉得国企领导者的意义不在自己赚钱，把大公司发展好，在国际上有竞争力，国际同行尊重我，我走到那儿受尊重，比工资重要
正确: 但是我觉得国企领导者的意义不在自己赚钱，把大公司发展好，在国际上有竞争力，国际同行尊重我，我走到【哪】儿受尊重，比工资重要
预测: 但是我觉得国企领导者的意义不在自己赚钱，把大公司发展好，在国际上有竞争力，国际同行尊重我，我走到【那】儿受尊重，比工资重要
错误类型: 漏纠

原始: 一审认定男孩的签约行为无效后，债权人上诉到市中院，二审认定男孩的签约行为有父母的共同签名确认，属合法有效行为，男孩也要承担还债的义务
正确: 一审认定男孩的签约行为无效后，债权人上诉到市中院，二审认定男孩的签约行为【有】父母的共同签名确认，属合法有效行为，男孩也要承担还债的义务
预测: 一审认定男孩的签约行为无效后，债权人上诉到市中院，二审认定男孩的签约行为【由】父母的共同签名确认，属合法有效行为，男孩也要承担还债的义务
错误类型: 过纠

原始: 许多摄影家认定海神庙拥有巴里岛最美的夕阳
正确: 许多摄影家认定海神庙拥有巴【厘】岛最美的夕阳
预测: 许多摄影家认定海神庙拥有巴【里】岛最美的夕阳
错误类型: 漏纠

原始: 为了总结盘点一年来改革发展两点，东北网推出了“坚实的前行·回眸发展路---网聚新闻力量”宣传专题
正确: 为了总结盘点一年来改革发展【亮】点，东北网推出了“坚实的前行·回眸发展路---网聚新闻力量”宣传专题
预测: 为了总结盘点一年来改革发展【两】点，东北网推出了“坚实的前行·回眸发展路---网聚新闻力量”宣传专题
错误类型: 漏纠

原始: 奥巴马在临时召开的记者会表示，他计划邀请乌克兰总统波洛申科于9月访问白宫，讨论乌克兰升高的危机
正确: 奥巴马在临时召开的记者会表示，他计划邀请乌克兰总统波【罗】申科于9月访问白宫，讨论乌克兰升高的危机
预测: 奥巴马在临时召开的记者会表示，他计划邀请乌克兰总统波【洛】申科于9月访问白宫，讨论乌克兰升高的危机
错误类型: 漏纠

原始: 现已得到保留，并规成为公园
正确: 现已得到保留，并【归】成为公园
预测: 现已得到保留，并【已】成为公园
错误类型: 综合

原始: 在医护人员守护下，整整坐了70多小时的血液透析，才将他从死亡线上拉回来
正确: 在医护人员守护下，整整【做】了70多小时的血液透析，才将他从死亡线上拉回来
预测: 在医护人员守护下，整整【坐】了70多小时的血液透析，才将他从死亡线上拉回来
错误类型: 漏纠

原始: 得益于市场的扩张、观众需求的多样化、演员与导演等创作者的转变，走过与被商业大片挤到边缘年头，近两年一些进行了商业化包装和运作的现实题材电影再现银幕，近日上映的《亲爱的》便是一个成功范例……
正确: 得益于市场的扩张、观众需求的多样化、演员与导演等创作者的转变，走过【已】被商业大片挤到边缘年头，近两年一些进行了商业化包装和运作的现实题材电影再现银幕，近日上映的《亲爱的》便是一个成功范例……
预测: 得益于市场的扩张、观众需求的多样化、演员与导演等创作者的转变，走过【与】被商业大片挤到边缘年头，近两年一些进行了商业化包装和运作的现实题材电影再现银幕，近日上映的《亲爱的》便是一个成功范例……
错误类型: 漏纠

原始: 会议决定，从今年7月1日起，将自来水、小型水利发电等特定一般纳税人适用的增值税6%、5%、4%、3%四档征收率合并为一档，统一执行3%的征收率
正确: 会议决定，从今年7月1日起，将自来水、小型水【利】发电等特定一般纳税人适用的增值税6%、5%、4%、3%四档征收率合并为一档，统一执行3%的征收率
预测: 会议决定，从今年7月1日起，将自来水、小型水【力】发电等特定一般纳税人适用的增值税6%、5%、4%、3%四档征收率合并为一档，统一执行3%的征收率
错误类型: 过纠

原始: 对方用布塞住她的嘴，捆绑住手脚后抗起她往窗外塞
正确: 对方用布塞住她的嘴，捆绑住手脚后【扛】起她往窗外塞
预测: 对方用布塞住她的嘴，捆绑住手脚后【抱】起她往窗外塞
错误类型: 综合

原始: 美法日前共同发明了一种柔性塑料相机传感器，意味着离可折叠行手机更近一步
正确: 美法日前共同发明了一种柔性塑料相机传感器，意味着离可折叠【型】手机更近一步
预测: 美法日前共同发明了一种柔性塑料相机传感器，意味着离可折叠【式】手机更近一步
错误类型: 综合

原始: 虽然Cius开发案胎死腹中，但还是有其价值存在，思科已在尝试拓展Jabber通讯和WebEx网络会议软件的适用平台，接下来会将重点放在发展具个人风格、并可在任一装置或平台上运行的协作软件
正确: 虽然Cius开发案胎死腹中，但还是有其价值存在，思科已在尝试拓展Jabber通讯和WebEx网络会议软件的【使】用平台，接下来会将重点放在发展具个人风格、并可在任一装置或平台上运行的协作软件
预测: 虽然Cius开发案胎死腹中，但还是有其价值存在，思科已在尝试拓展Jabber通讯和WebEx网络会议软件的【应】用平台，接下来会将重点放在发展具个人风格、并可在任一装置或平台上运行的协作软件
错误类型: 综合

原始: 甜美风或许不再适合如今的世代，杨钰莹温婉却坚定地表示：“任何的评价我都可以接受…唱歌对我来说是最自然、最舒服的事情……”
正确: 甜美风或许不再适合如今的【时】代，杨钰莹温婉却坚定地表示：“任何的评价我都可以接受…唱歌对我来说是最自然、最舒服的事情……”
预测: 甜美风或许不再适合如今的【世】代，杨钰莹温婉却坚定地表示：“任何的评价我都可以接受…唱歌对我来说是最自然、最舒服的事情……”
错误类型: 漏纠

原始: 著名财经评论家水皮认为：1.今日A股开盘就会击穿解放底，但一些有价值的股票，正式逢低买入的时候；2.央妈不救打击对象主要是影子银行；3.大盘暴挫IPO重启可能会推迟
正确: 著名财经评论家水皮认为：1.今日A股开盘就会击穿解放底，但一些有价值的股票，正【是】逢低买入的时候；2.央妈不救打击对象主要是影子银行；3.大盘暴挫IPO重启可能会推迟
预测: 著名财经评论家水皮认为：1.今日A股开盘就会击穿解放底，但一些有价值的股票，正【式】逢低买入的时候；2.央妈不救打击对象主要是影子银行；3.大盘暴挫IPO重启可能会推迟
错误类型: 漏纠

原始: 对于小而美的格局的话，不如在挟已经共享的地图信息为基准，深挖线下资源，民宿平台和快速本地化的票务业务等等
正确: 对于小而美的格局的话，不如【在】挟已经共享的地图信息为基准，深挖线下资源，民宿平台和快速本地化的票务业务等等
预测: 对于小而美的格局的话，不如【再】挟已经共享的地图信息为基准，深挖线下资源，民宿平台和快速本地化的票务业务等等
错误类型: 过纠

原始: 当我们遣上索尔达多，他们已经把比分扩大到2-0了
正确: 当我们【追】上索尔达多，他们已经把比分扩大到2-0了
预测: 当我们【派】上索尔达多，他们已经把比分扩大到2-0了
错误类型: 综合

原始: 而在这班超级富豪之中，女性超过25%，比例为所有国家或地区之冠
正确: 而在这【帮】超级富豪之中，女性超过25%，比例为所有国家或地区之冠
预测: 而在这【班】超级富豪之中，女性超过25%，比例为所有国家或地区之冠
错误类型: 漏纠

原始: 这个城镇上空发生甚么事
正确: 这个城镇上【空】发生什么事
预测: 这个城镇上【正】发生什么事
错误类型: 综合

原始: 南都去年一次公明地下假调味品工厂的报道，曾意外牵出市场监管部门徇私渎职的内幕，深圳市检察机关据此立案调查5名市场监管人员，其中2人因涉嫌食品监管渎职罪被逮捕
正确: 南都去年一次公【明】地下假调味品工厂的报道，曾意外牵出市场监管部门徇私渎职的内幕，深圳市检察机关据此立案调查5名市场监管人员，其中2人因涉嫌食品监管渎职罪被逮捕
预测: 南都去年一次公【示】地下假调味品工厂的报道，曾意外牵出市场监管部门徇私渎职的内幕，深圳市检察机关据此立案调查5名市场监管人员，其中2人因涉嫌食品监管渎职罪被逮捕
错误类型: 过纠

原始: 令人吃惊的是，他不仅月入过万，并以在北京买了两套房
正确: 令人吃惊的是，他不仅月入过万，并【已】在北京买了两套房
预测: 令人吃惊的是，他不仅月入过万，并【且】在北京买了两套房
错误类型: 综合

原始: 韩美联合司令部3月12日表示，已经就末段高空区域防御系统（萨德，THAAD）在韩国的部署问题进行过选址调查
正确: 韩美联合司令部3月12日表示，已经就末【段】高空区域防御系统（萨德，THAAD）在韩国的部署问题进行过选址调查
预测: 韩美联合司令部3月12日表示，已经就末【端】高空区域防御系统（萨德，THAAD）在韩国的部署问题进行过选址调查
错误类型: 过纠

原始: 三四线城市房地产已经垮了，土地财政也已经难于持续
正确: 三四线城市房地产已经垮了，土地财政也已经难【以】持续
预测: 三四线城市房地产已经垮了，土地财政也已经难【于】持续
错误类型: 漏纠

原始: 美国一艘搭载有反导导弹拦截系统的宙斯盾级驱逐舰“菲茨杰拉德”号，已知离开日本神奈川县的横须贺美军第七舰队基地，驶往朝鲜半岛附近海域
正确: 美国一艘搭载有反导导弹拦截系统的宙斯盾级驱逐舰“菲茨杰拉德”号，已【知】离开日本神奈川县的横须贺美军第七舰队基地，驶往朝鲜半岛附近海域
预测: 美国一艘搭载有反导导弹拦截系统的宙斯盾级驱逐舰“菲茨杰拉德”号，已【经】离开日本神奈川县的横须贺美军第七舰队基地，驶往朝鲜半岛附近海域
错误类型: 过纠

原始: 在改革话语成为政治正确标志的前提下，司改作为全面深改的率先试水者之一，不得不抖擞精神，扬风乍毛，拉开了改革架势
正确: 在改革话语成为政治正确标志的前提下，司改作为全面深改的率先试水者之一，不得不抖擞精神，扬风【乍】毛，拉开了改革架势
预测: 在改革话语成为政治正确标志的前提下，司改作为全面深改的率先试水者之一，不得不抖擞精神，扬风【掠】毛，拉开了改革架势
错误类型: 过纠

原始: 想搞定字体设计，了解字体结构是特别基础的一部分，今天腾讯同学从字体的分类、结构特征、设计原理以及常用的设计规律四方面给同学们科普一下这方面的姿势，想入门字体设计的同学，来学习咯
正确: 想搞定字体设计，了解字体结构是特别基础的一部分，今天腾讯同学从字体的分类、结构特征、设计原理以及常用的设计规律四方面给同学们科普一下这方面的【知】【识】，想入门字体设计的同学，来学习咯
预测: 想搞定字体设计，了解字体结构是特别基础的一部分，今天腾讯同学从字体的分类、结构特征、设计原理以及常用的设计规律四方面给同学们科普一下这方面的【姿】【势】，想入门字体设计的同学，来学习咯
错误类型: 漏纠

原始: 尽管该公司高层予以否认，但在业界看来，不断高起的运营成本，让不少快递企业经营每况愈下
正确: 尽管该公司高层予以否认，但在业界看来，不断高【起】的运营成本，让不少快递企业经营每况愈下
预测: 尽管该公司高层予以否认，但在业界看来，不断高【企】的运营成本，让不少快递企业经营每况愈下
错误类型: 过纠

原始: 近日，全国首份关于P2P立法的政协提案以及首份人大代表建议在深圳发布，有深圳市人大代表和政协委员分别提出建议，作为全国P2P平台最活跃的城市，深圳应该率先对P2P行业进行立法规范并加强监管
正确: 近日，全国首份关于P2P立法的政协提案以及首份人大代表建议在深圳发布，【由】深圳市人大代表和政协委员分别提出建议，作为全国P2P平台最活跃的城市，深圳应该率先对P2P行业进行立法规范并加强监管
预测: 近日，全国首份关于P2P立法的政协提案以及首份人大代表建议在深圳发布，【有】深圳市人大代表和政协委员分别提出建议，作为全国P2P平台最活跃的城市，深圳应该率先对P2P行业进行立法规范并加强监管
错误类型: 漏纠

原始: 近期国际金价连续暴跌，已经创下2011年7月份以来的最低位，国内金价也随之下跌，金条价格每克大跌14元左右，两面内首次跌破了300元，部分投资者纷纷追跌抄底，黄金卖场金店出现购金高峰，频现百万大单
正确: 近期国际金价连续暴跌，已经创下2011年7月份以来的最低位，国内金价也随之下跌，金条价格每克大跌14元左右，两【年】内首次跌破了300元，部分投资者纷纷追跌抄底，黄金卖场金店出现购金高峰，频现百万大单
预测: 近期国际金价连续暴跌，已经创下2011年7月份以来的最低位，国内金价也随之下跌，金条价格每克大跌14元左右，两【周】内首次跌破了300元，部分投资者纷纷追跌抄底，黄金卖场金店出现购金高峰，频现百万大单
错误类型: 综合

原始: 孔雀王有五百妻子，但又爱上了一只青孔雀，每天为了青孔雀爱吃的食物到处奔波，它所在国家的王后病了，要吃孔雀肉才能治好，于是孔雀王被猎人捉住，它求猎人放了自己，说有座金山给猎人，但猎人不信，要将孔雀王献给王后致病
正确: 孔雀王有五百妻子，但又爱上了一只青孔雀，每天为了青孔雀爱吃的食物到处奔波，它所在国家的王后病了，要吃孔雀肉才能治好，于是孔雀王被猎人捉住，它求猎人放了自己，说有座金山给猎人，但猎人不信，要将孔雀王献给王后【治】病
预测: 孔雀王有五百妻子，但又爱上了一只青孔雀，每天为了青孔雀爱吃的食物到处奔波，它所在国家的王后病了，要吃孔雀肉才能治好，于是孔雀王被猎人捉住，它求猎人放了自己，说有座金山给猎人，但猎人不信，要将孔雀王献给王后【致】病
错误类型: 漏纠

原始: 该惊牛来自境外，在境外已伤及多人，窜入我国后，村民曾自发组织十几名青壮年围捕，但水牛太凶猛，只好报警
正确: 该【惊】牛来自境外，在境外已伤及多人，窜入我国后，村民曾自发组织十几名青壮年围捕，但水牛太凶猛，只好报警
预测: 该【水】牛来自境外，在境外已伤及多人，窜入我国后，村民曾自发组织十几名青壮年围捕，但水牛太凶猛，只好报警
错误类型: 过纠

原始: 由于失踪关员工作性质敏感，警方对案件极表重视
正确: 由于失踪【官】员工作性质敏感，警方对案件极表重视
预测: 由于失踪【人】员工作性质敏感，警方对案件极表重视
错误类型: 综合

原始: 莫言首现朗诵了自己的短篇小说《狼》
正确: 莫言首【先】朗诵了自己的短篇小说《狼》
预测: 莫言首【次】朗诵了自己的短篇小说《狼》
错误类型: 综合

原始: 今年7月，李某在将当地一拆迁户杨某碾压致死
正确: 今年7月，李某【再】将当地一拆迁户杨某碾压致死
预测: 今年7月，李某【在】将当地一拆迁户杨某碾压致死
错误类型: 漏纠

原始: 事情是这样的：卖蜂蜜的老板娘，为卖肉的壮汉出头，却被买肉老汉破了相
正确: 事情是这样的：卖蜂蜜的老板娘，为卖肉的壮汉出头，却被【买】肉老汉破了相
预测: 事情是这样的：卖蜂蜜的老板娘，为卖肉的壮汉出头，却被【卖】肉老汉破了相
错误类型: 过纠

原始: 日本金泽大学理工学域交通计划学专业助教藤生慎日前针对外国游客启动一项行动调查，让其在金泽市内旅游时佩戴卫星定位系统(GPS)和小型摄像头
正确: 日本金泽大学理工学【与】交通计划学专业助教藤生慎日前针对外国游客启动一项行动调查，让其在金泽市内旅游时佩戴卫星定位系统(GPS)和小型摄像头
预测: 日本金泽大学理工学【院】交通计划学专业助教藤生慎日前针对外国游客启动一项行动调查，让其在金泽市内旅游时佩戴卫星定位系统(GPS)和小型摄像头
错误类型: 综合

原始: 将小河鱼破肚洗净，放入大碗中，加姜沫、葱花、酱油、食盐、啤酒适量拌匀，腌制10分钟，食油烧滚后，逐个放入小过油，炸成焦黄色后捞出，趁热撒上花椒粉即成
正确: 将小河鱼破肚洗净，放入大碗中，加姜沫、葱花、酱油、食盐、啤酒适量拌匀，腌制10分钟，食油烧滚后，逐个放入小【过】油，炸成焦黄色后捞出，趁热撒上花椒粉即成
预测: 将小河鱼破肚洗净，放入大碗中，加姜沫、葱花、酱油、食盐、啤酒适量拌匀，腌制10分钟，食油烧滚后，逐个放入小【河】油，炸成焦黄色后捞出，趁热撒上花椒粉即成
错误类型: 过纠

原始: 今天国美电器实体店开始了一场“全场电器直破网站”的降价活动，对店内电器进行了价格调整，将之前电商的线上价格“战火”烧到线下
正确: 今天国美电器实体店开始了一场“全场电器直【破】网站”的降价活动，对店内电器进行了价格调整，将之前电商的线上价格“战火”烧到线下
预测: 今天国美电器实体店开始了一场“全场电器直【击】网站”的降价活动，对店内电器进行了价格调整，将之前电商的线上价格“战火”烧到线下
错误类型: 过纠

原始: 日本警视厅的消息证实，张志扬是在名古屋被发现行纵，遭警方围捕时，拿刀自刎，送医急救后失血过多、不治死亡
正确: 日本警视厅的消息证实，张志扬是在名古屋被发现行【踪】，遭警方围捕时，拿刀自刎，送医急救后失血过多、不治死亡
预测: 日本警视厅的消息证实，张志扬是在名古屋被发现行【纵】，遭警方围捕时，拿刀自刎，送医急救后失血过多、不治死亡
错误类型: 漏纠

原始: 养老金双轨制被指最大限度保护权力设计者利益；土地财政短期难改变房产税很难在全国推行；公积金告急大量提取致短期“入不敷出”；专家：实施普遍二胎政策条件还不成熟风险较大；业内人士：水龙头质量好的出口
正确: 养老金双轨制被指最大限度保护权【利】设计者利益；土地财政短期难改变房产税很难在全国推行；公积金告急大量提取致短期“入不敷出”；专家：实施普遍二胎政策条件还不成熟风险较大；业内人士：水龙头质量好【地】出口
预测: 养老金双轨制被指最大限度保护权【力】设计者利益；土地财政短期难改变房产税很难在全国推行；公积金告急大量提取致短期“入不敷出”；专家：实施普遍二胎政策条件还不成熟风险较大；业内人士：水龙头质量好【的】出口
错误类型: 漏纠

原始: 除了对于宝贝们适应能力的的考验，对于明星爸爸们也是一场烟具的考验，而明星奶爸再一次引发热议
正确: 除了对于宝贝们适应能力的的考验，对于明星爸爸们也是一场【严】【峻】的考验，而明星奶爸再一次引发热议
预测: 除了对于宝贝们适应能力的的考验，对于明星爸爸们也是一场【烟】【具】的考验，而明星奶爸再一次引发热议
错误类型: 漏纠

原始: 我是新疆人”网络微活动，共晒出乌鲁木齐第五小学足球队员、塔斯肯等105位(组)民间”草根英雄”，发稿83篇、转载1153次；织博587条、转评超12万条、阅读量超8000万
正确: 我是新疆人”网络微活动，共晒出乌鲁木齐第五小学足球队员、塔斯肯等105位(组)民间”草根英雄”，发稿83篇、转载1153次；【织】博587条、转评超12万条、阅读量超8000万
预测: 我是新疆人”网络微活动，共晒出乌鲁木齐第五小学足球队员、塔斯肯等105位(组)民间”草根英雄”，发稿83篇、转载1153次；【微】博587条、转评超12万条、阅读量超8000万
错误类型: 过纠

原始: 中兴商业8月15日公告称，截至8月12日，大商集团、大商管理合计持有公司股份数达5580.13万股，占公司总股本的20%
正确: 中兴商业8月15日公告称，截至8月12日，大商集团、大商管理合计持有公司股份数达5580.13万股，占公司总股【本】的20%
预测: 中兴商业8月15日公告称，截至8月12日，大商集团、大商管理合计持有公司股份数达5580.13万股，占公司总股【份】的20%
错误类型: 过纠

原始: 沈阳华润万家沈辽购物中心1月22日开业，购物中心位于沈阳市于洪区与铁西区交汇处，吸引了百丽、千百度、七匹狼、中国黄金、热风集合店、幸福蓝海国际影城、优游派儿童冰川乐园、金迈园海鲜自助烤肉等多品牌入住
